Student Status,Name,Email,Class,Laptop,Contract?,Cover Letter,Resume,Treehouse Status,Next Step Email?,,,,,,,,,,,,,,,,,,,,,,,,
Students Enrolled - Paid in Full/Financed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2014 21:40:00,Imamey ,Mesava,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",853 Center Street,,Veneta,OR,97487,541-410-2902,jvincent@gmail.com,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6296,EARLY-BIRD_JS-I,Chrome 38.0.2125.122 / OS X,,172861574,Completed,,
11/20/2014 22:43:00,Kiezimey,T'hais,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",3768 Skinner Hollow Road,,Provolt,OR,97530,541-619-4745,jmarks@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6995,,Chrome 38.0.2125.122 / OS X,,172865843,Completed,,
11/26/2014 8:19:37,Aeilte,Nurava,I will supply my own laptop,,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",1745 New Street,,Medford,OR,97501,503-793-6449,vhilt@dayrep.com,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6296,EARLY-BIRD_JS-I,Chrome 38.0.2125.122 / OS X,,173514980,Completed,,
11/21/2014 12:42:00,Elanyte,Iallirix,I will supply my own laptop,,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",Liseyda Arterev,3897,Newberg,OR,97132,541-424-6844,ckratz@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6995,,Chrome 38.0.2125.111 / Windows 8.1,,172968233,Completed,,
12/2/2014 16:41:00,Talana,Myraari,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",3897 Kincheloe Rd,,Newberg,OR,97132,541-616-6413,aoyler@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6296,EARLY-BIRD_JS-I,Firefox 34.0 / Windows 8.1,,174216195,Completed,,
12/5/2014 19:17:13,Pe'mea,V'molyt,I would like to rent a laptop,4,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",450 Hope Street,,Portland,OR,97205,541-774-7766,jharvey@dayrep.com,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,,30,6995,1314,1,6416,,Chrome 39.0.2171.71 / Windows 7,,174654418,Completed
12/1/2014 12:41:00,Cheeesnea,D'bieto,I would like to rent a laptop,5,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",998 Sycamore Road,,sutherlin,OR,97479,503-230-7325,cchappell@teleworm.us,Use the Payment Plan,,,,"I have read and understand the above ""Tuition and Termination Policies"". I understand that the above is an informational summary and that all details will be presented for signature and acceptance upon completion of my Genesis Financial Loan Application.",I have booked a time with PCS staff at https://collaine.youcanbook.me/ for an onsite financial meeting.,30,6995,,1,0,,Chrome 38.0.2125.122 / OS X 10.9 Mavericks,,173997462,Completed_financing meeting scheduled
11/26/2014 11:45:00,Lulersy,D'bieara,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",1183 Heron Way,,Portland,OR,97206,503-279-0757,mpotter@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,,30,6995,,1,6296,EARLY-BIRD_JS-I,Chrome 38.0.2125.122 / OS X 10.7 Lion,,173541815,Completed
